Mass [Mearth]	Radius [Rearth]	WMF core [Mearth]	WMF mantle [Mearth]	WMF atm1 [Mearth]	WMF atm2 [Mearth]	total WMF	Teq [K]
0.499437336	1.498788314	3.68E-03	1.02E-02	0	9.18E-04	3.00E-02	1400
1.157588998	2.395741017	3.91E-02	0.347579589	7.39E-02	0.119789718	0.499999993	1000
1.633873281	2.298888028	7.75E-02	0.54036868	7.95E-02	0.115375483	0.499999993	1000
2.227740921	2.278725901	0.149567523	0.76288921	8.16E-02	0.110741971	0.499999993	1000
2.950020277	2.286200243	0.274701019	1.023957305	8.34E-02	0.10771487	0.499999993	1000
3.807876478	2.330590852	0.480654951	1.229499335	7.90E-02	0.101279582	0.499999993	1000
4.826647813	2.383784724	0.793074258	1.463924494	7.68E-02	9.76E-02	0.499999993	1000
6.006635339	2.425366733	1.225900161	1.592589419	6.87E-02	9.16E-02	0.499999993	1000
7.374040574	2.477588501	1.812081519	1.700883303	6.04E-02	8.68E-02	0.499999993	1000
12.6583203	2.651597791	4.360582467	1.878047523	2.27E-02	7.54E-02	0.499999993	1000
14.84831925	2.713905874	5.415469319	1.941106062	8.10E-03	7.25E-02	0.499999993	1000
17.29764043	2.771367393	6.602663389	1.983514047	0	6.51E-02	0.499999993	1000
20.00587535	2.837436131	7.857564945	2.094203312	0	5.87E-02	0.499999993	1000
0.500651178	1.142819139	3.95E-03	1.03E-02	0	7.64E-04	3.00E-02	700
0.783039364	1.181266994	8.28E-03	1.44E-02	0	6.29E-04	3.00E-02	700
1.156039207	1.246629164	1.74E-02	1.65E-02	0	5.79E-04	3.00E-02	700
1.633855676	1.319133425	3.30E-02	1.58E-02	0	4.90E-04	3.00E-02	700
2.227087424	1.393048798	5.48E-02	1.25E-02	0	3.67E-04	3.00E-02	700
2.948414019	1.466801828	8.00E-02	8.35E-03	0	2.48E-04	3.00E-02	700
3.811008753	1.544050965	0.108647874	5.93E-03	0	1.78E-04	3.00E-02	700
4.827023259	1.623345441	0.140593567	4.61E-03	0	1.40E-04	3.00E-02	700
6.009533945	1.702974063	0.176801987	3.90E-03	0	1.22E-04	3.00E-02	700
7.372155556	1.782743568	0.21839031	3.49E-03	0	1.15E-04	3.00E-02	700
8.926881116	1.859048337	0.26485204	3.09E-03	0	1.10E-04	3.00E-02	700
10.6796886	1.93455818	0.31776327	3.28E-03	0	1.09E-04	3.00E-02	700
12.65404149	2.005734913	0.376747422	2.82E-03	0	1.06E-04	3.00E-02	700
14.85928288	2.077723062	0.444043453	2.70E-03	0	1.06E-04	3.00E-02	700
17.3010155	2.145012756	0.515689596	2.38E-03	0	1.03E-04	3.00E-02	700
20.00225222	2.215648013	0.615096659	3.82E-03	0	1.10E-04	3.00E-02	700
0.501076387	1.420436219	7.67E-03	3.41E-02	0	8.16E-03	1.00E-01	700
0.783128547	1.399293496	1.69E-02	5.32E-02	0	8.06E-03	1.00E-01	700
1.156929328	1.425125124	3.42E-02	7.41E-02	0	7.21E-03	1.00E-01	700
1.633998505	1.47064985	6.41E-02	9.32E-02	0	5.84E-03	1.00E-01	700
2.226963381	1.519181651	0.110924404	0.106706537	0	4.24E-03	1.00E-01	700
2.948343409	1.581933877	0.179969632	0.1115878	0	3.24E-03	1.00E-01	700
3.810689334	1.652942928	0.275470591	0.104662776	0	2.68E-03	1.00E-01	700
4.826519704	1.72423558	0.387980517	9.35E-02	0	2.19E-03	1.00E-01	700
6.008907227	1.798060319	0.518584648	8.25E-02	0	1.90E-03	1.00E-01	700
7.370765358	1.872340976	0.660995102	7.51E-02	0	1.70E-03	1.00E-01	700
8.915484297	1.946431452	0.81816797	7.19E-02	0	1.60E-03	1.00E-01	700
10.68667023	2.023263789	0.997283517	7.20E-02	0	1.59E-03	1.00E-01	700
12.6395042	2.092837894	1.191137995	6.88E-02	0	1.55E-03	1.00E-01	700
14.8587938	2.164675778	1.4175602	6.99E-02	0	1.55E-03	1.00E-01	700
17.30579117	2.232996413	1.666794959	6.78E-02	0	1.54E-03	1.00E-01	700
19.9953392	2.301168372	1.937517414	6.49E-02	0	1.53E-03	1.00E-01	700
0.499951239	1.731030331	9.57E-03	5.85E-02	0	2.95E-02	0.199999995	700
0.783168927	1.654951563	2.11E-02	0.101345202	0	3.43E-02	0.199999995	700
1.157855467	1.650689682	4.35E-02	0.153527133	0	3.51E-02	0.199999995	700
1.634115532	1.680728991	8.37E-02	0.210090699	0	3.29E-02	0.199999995	700
2.226643574	1.72483486	0.150593416	0.265222022	0	2.87E-02	0.199999995	700
2.947814403	1.776917266	0.253042148	0.311715407	0	2.34E-02	0.199999995	700
3.810685343	1.830460361	0.396639763	0.346264679	0	1.80E-02	0.199999995	700
4.827399204	1.888843808	0.57964522	0.370578933	0	1.34E-02	0.199999995	700
6.010329999	1.948440028	0.800160886	0.393713498	0	1.01E-02	0.199999995	700
7.370028024	2.004683749	1.108921333	0.358656431	0	8.45E-03	0.199999995	700
8.922579028	2.065529132	1.449820637	0.329319288	0	7.45E-03	0.199999995	700
10.67986604	2.131908222	1.817088184	0.312269898	0	6.85E-03	0.199999995	700
12.6536393	2.202703601	2.221658685	0.308126199	0	6.67E-03	0.199999995	700
14.85579856	2.272128711	2.660182806	0.305991457	0	6.49E-03	0.199999995	700
17.29928965	2.340302663	3.157432471	0.29998338	0	6.42E-03	0.199999995	700
20.00127256	2.406652095	3.701342538	0.295521231	0	6.32E-03	0.199999995	700
0.493115993	2.039292802	9.25E-03	7.58E-02	0	6.31E-02	0.299999994	700
0.783141268	1.860134519	2.19E-02	0.138085615	7.82E-03	6.73E-02	0.299999994	700
1.156858163	1.826551564	4.55E-02	0.219722155	1.45E-02	6.74E-02	0.299999994	700
1.633212242	1.843730682	8.93E-02	0.317308155	1.71E-02	6.64E-02	0.299999994	700
2.226566867	1.8831708	0.165421653	0.422447379	1.51E-02	6.46E-02	0.299999994	700
2.948621518	1.932852184	0.288123269	0.52359808	9.35E-03	6.22E-02	0.299999994	700
3.811155678	1.987409827	0.470337984	0.610992367	1.26E-03	5.95E-02	0.299999994	700
4.829430297	2.039879677	0.725215244	0.675088406	0	4.85E-02	0.299999994	700
6.010142626	2.094615333	1.044314837	0.719096797	0	3.75E-02	0.299999994	700
